model,split,threshold_strategy,class,precision,recall,f1,support
densenet121_imagenet,train,youden,Atelectasis,0.2219,0.843,0.3513,2032
densenet121_imagenet,train,youden,Cardiomegaly,0.0778,0.9557,0.1438,564
densenet121_imagenet,train,youden,Consolidation,0.0959,0.9447,0.1741,904
densenet121_imagenet,train,youden,Edema,0.0597,0.9873,0.1125,472
densenet121_imagenet,train,youden,Effusion,0.2953,0.8649,0.4402,2576
densenet121_imagenet,train,youden,Emphysema,0.065,0.9862,0.122,508
densenet121_imagenet,train,youden,Fibrosis,0.0496,0.9345,0.0942,336
densenet121_imagenet,train,youden,Hernia,0.0078,1.0,0.0155,52
densenet121_imagenet,train,youden,Infiltration,0.3073,0.6453,0.4163,3868
densenet121_imagenet,train,youden,Mass,0.1348,0.8838,0.2339,1136
densenet121_imagenet,train,youden,Nodule,0.1123,0.9034,0.1998,1252
densenet121_imagenet,train,youden,Pleural_Thickening,0.0961,0.8892,0.1735,704
densenet121_imagenet,train,youden,Pneumonia,0.0367,0.9395,0.0706,248
densenet121_imagenet,train,youden,Pneumothorax,0.1583,0.9262,0.2703,1084
densenet121_imagenet,train,youden,<micro avg>,0.126,0.8364,0.219,15736
densenet121_imagenet,train,youden,<macro avg>,0.1227,0.9074,0.2013,15736
densenet121_imagenet,train,youden,<weighted avg>,0.2002,0.8364,0.3046,15736
densenet121_imagenet,heldout,youden,Atelectasis,0.1863,0.7185,0.2959,508
densenet121_imagenet,heldout,youden,Cardiomegaly,0.0608,0.7518,0.1125,141
densenet121_imagenet,heldout,youden,Consolidation,0.0841,0.8142,0.1525,226
densenet121_imagenet,heldout,youden,Edema,0.0549,0.9153,0.1036,118
densenet121_imagenet,heldout,youden,Effusion,0.2701,0.7935,0.403,644
densenet121_imagenet,heldout,youden,Emphysema,0.0553,0.8661,0.1039,127
densenet121_imagenet,heldout,youden,Fibrosis,0.0314,0.5595,0.0595,84
densenet121_imagenet,heldout,youden,Hernia,0.0073,0.9231,0.0145,13
densenet121_imagenet,heldout,youden,Infiltration,0.2842,0.576,0.3806,967
densenet121_imagenet,heldout,youden,Mass,0.1009,0.6585,0.175,284
densenet121_imagenet,heldout,youden,Nodule,0.0813,0.6613,0.1448,313
densenet121_imagenet,heldout,youden,Pleural_Thickening,0.0763,0.6932,0.1375,176
densenet121_imagenet,heldout,youden,Pneumonia,0.0203,0.5,0.0391,62
densenet121_imagenet,heldout,youden,Pneumothorax,0.139,0.8118,0.2373,271
densenet121_imagenet,heldout,youden,<micro avg>,0.1067,0.7034,0.1852,3934
densenet121_imagenet,heldout,youden,<macro avg>,0.1037,0.7316,0.1686,3934
densenet121_imagenet,heldout,youden,<weighted avg>,0.1763,0.7034,0.2656,3934
densenet121_imagenet,train,f1opt,Atelectasis,0.3654,0.5527,0.44,2032
densenet121_imagenet,train,f1opt,Cardiomegaly,0.383,0.5106,0.4377,564
densenet121_imagenet,train,f1opt,Consolidation,0.2551,0.4679,0.3302,904
densenet121_imagenet,train,f1opt,Edema,0.3149,0.447,0.3695,472
densenet121_imagenet,train,f1opt,Effusion,0.4592,0.6068,0.5227,2576
densenet121_imagenet,train,f1opt,Emphysema,0.4261,0.4941,0.4576,508
densenet121_imagenet,train,f1opt,Fibrosis,0.2779,0.3482,0.3091,336
densenet121_imagenet,train,f1opt,Hernia,0.5862,0.6538,0.6182,52
densenet121_imagenet,train,f1opt,Infiltration,0.3466,0.5489,0.4249,3868
densenet121_imagenet,train,f1opt,Mass,0.3487,0.4067,0.3755,1136
densenet121_imagenet,train,f1opt,Nodule,0.2262,0.4209,0.2942,1252
densenet121_imagenet,train,f1opt,Pleural_Thickening,0.271,0.3764,0.3151,704
densenet121_imagenet,train,f1opt,Pneumonia,0.3127,0.3468,0.3289,248
densenet121_imagenet,train,f1opt,Pneumothorax,0.4216,0.583,0.4894,1084
densenet121_imagenet,train,f1opt,<micro avg>,0.35,0.5151,0.4168,15736
densenet121_imagenet,train,f1opt,<macro avg>,0.3568,0.4831,0.4081,15736
densenet121_imagenet,train,f1opt,<weighted avg>,0.3563,0.5151,0.4195,15736
densenet121_imagenet,heldout,f1opt,Atelectasis,0.2851,0.4075,0.3355,508
densenet121_imagenet,heldout,f1opt,Cardiomegaly,0.1667,0.1844,0.1751,141
densenet121_imagenet,heldout,f1opt,Consolidation,0.1157,0.1858,0.1426,226
densenet121_imagenet,heldout,f1opt,Edema,0.08,0.1017,0.0896,118
densenet121_imagenet,heldout,f1opt,Effusion,0.3755,0.4612,0.4139,644
densenet121_imagenet,heldout,f1opt,Emphysema,0.2051,0.189,0.1967,127
densenet121_imagenet,heldout,f1opt,Fibrosis,0.0843,0.0833,0.0838,84
densenet121_imagenet,heldout,f1opt,Hernia,0.0,0.0,0.0,13
densenet121_imagenet,heldout,f1opt,Infiltration,0.3102,0.4705,0.3739,967
densenet121_imagenet,heldout,f1opt,Mass,0.2211,0.2218,0.2214,284
densenet121_imagenet,heldout,f1opt,Nodule,0.1246,0.2268,0.1608,313
densenet121_imagenet,heldout,f1opt,Pleural_Thickening,0.1146,0.125,0.1196,176
densenet121_imagenet,heldout,f1opt,Pneumonia,0.0169,0.0161,0.0165,62
densenet121_imagenet,heldout,f1opt,Pneumothorax,0.2781,0.3284,0.3012,271
densenet121_imagenet,heldout,f1opt,<micro avg>,0.2491,0.3345,0.2855,3934
densenet121_imagenet,heldout,f1opt,<macro avg>,0.1698,0.2144,0.1879,3934
densenet121_imagenet,heldout,f1opt,<weighted avg>,0.2484,0.3345,0.2834,3934
