finding,n_pos_test,prevalence,auroc,auprc,threshold,accuracy,precision,recall,f1,n_pos_reported_half
Atelectasis,3279,0.1281,0.7672,0.3325,0.7561,0.8093,0.3306,0.4741,0.3896,1643
Cardiomegaly,1069,0.0418,0.8889,0.357,0.8087,0.9475,0.4113,0.4389,0.4247,565
Consolidation,1815,0.0709,0.751,0.16,0.7542,0.7868,0.1673,0.4919,0.2497,923
Edema,925,0.0361,0.8468,0.1679,0.808,0.9212,0.1768,0.3169,0.227,467
Effusion,4658,0.182,0.8274,0.5104,0.8024,0.7995,0.4677,0.6253,0.5351,2362
Emphysema,1093,0.0427,0.9054,0.3984,0.8175,0.9497,0.418,0.4797,0.4467,542
Fibrosis,435,0.017,0.828,0.0958,0.6535,0.9539,0.1118,0.2644,0.1571,208
Hernia,86,0.0034,0.9207,0.3086,0.4706,0.9958,0.4048,0.3696,0.3864,46
Infiltration,6112,0.2388,0.7038,0.4032,0.654,0.6715,0.3835,0.6473,0.4816,3017
Mass,1748,0.0683,0.8245,0.3166,0.828,0.9003,0.3407,0.469,0.3947,887
Nodule,1623,0.0634,0.7544,0.2264,0.7793,0.9037,0.2714,0.3099,0.2893,810
Pleural_Thickening,1143,0.0447,0.7678,0.1321,0.7206,0.8714,0.1551,0.4099,0.225,583
Pneumonia,555,0.0217,0.7222,0.0537,0.576,0.8941,0.0548,0.2174,0.0875,299
Pneumothorax,2665,0.1041,0.8572,0.4077,0.7431,0.8667,0.3982,0.5948,0.477,1308
