model,finding,n,pointing_hit_rate,chance_rate,mean_iou,mean_cam_mass_in_box,mean_box_coverage,mean_prob
densenet121_full224,Atelectasis,11,0.0,0.032,0.11,0.083,0.515,0.669
densenet121_full224,Cardiomegaly,10,0.8,0.181,0.586,0.544,0.7,0.794
densenet121_full224,Effusion,8,0.125,0.043,0.077,0.075,0.595,0.837
densenet121_full224,Infiltration,2,1.0,0.19,0.582,0.46,0.912,0.827
densenet121_full224,Mass,4,0.5,0.047,0.156,0.137,0.854,0.832
densenet121_full224,Nodule,3,0.0,0.004,0.015,0.012,0.704,0.797
densenet121_full224,Pneumonia,9,0.333,0.047,0.162,0.122,0.688,0.544
densenet121_full224,Pneumothorax,6,0.5,0.054,0.2,0.181,0.537,0.72
densenet121_imagenet,Atelectasis,11,0.091,0.032,0.082,0.066,0.317,0.628
densenet121_imagenet,Cardiomegaly,10,0.9,0.181,0.421,0.531,0.466,0.578
densenet121_imagenet,Effusion,8,0.125,0.043,0.112,0.09,0.478,0.747
densenet121_imagenet,Infiltration,2,0.5,0.19,0.106,0.268,0.12,0.596
densenet121_imagenet,Mass,4,0.0,0.047,0.023,0.06,0.265,0.55
densenet121_imagenet,Nodule,3,0.0,0.004,0.036,0.017,0.878,0.498
densenet121_imagenet,Pneumonia,9,0.111,0.047,0.027,0.039,0.072,0.449
densenet121_imagenet,Pneumothorax,6,0.0,0.054,0.063,0.084,0.178,0.7
