layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac,model
block3,layercam,both,320,0.6226,33,53,0.1656,0.2183,0.2301,0.4172,0.0546,densenet121_full224
block3+4,layercam,none,224,0.5849,31,53,0.2602,0.2278,0.6917,0.1971,0.1443,densenet121_full224
block3,layercam,none,224,0.5849,31,53,0.2318,0.2525,0.4452,0.2158,0.0602,densenet121_full224
block3+4,hirescam,aug,224,0.5849,31,53,0.2196,0.2362,0.5309,0.2247,0.0962,densenet121_full224
block3,hirescam,aug,224,0.5849,31,53,0.1582,0.2014,0.2395,0.2705,0.0279,densenet121_full224
block3+4,layercam,aug,224,0.566,30,53,0.2644,0.2274,0.6985,0.1967,0.1492,densenet121_full224
block3+4,layercam,aug,320,0.566,30,53,0.2462,0.2384,0.5381,0.2103,0.0883,densenet121_full224
block3+4,layercam,none,320,0.566,30,53,0.2379,0.2413,0.5167,0.2122,0.0854,densenet121_full224
block3,layercam,aug,224,0.566,30,53,0.2357,0.2608,0.4726,0.2152,0.0645,densenet121_full224
block3+4,hirescam,none,224,0.566,30,53,0.2131,0.2318,0.4531,0.2262,0.0783,densenet121_full224
block3+4,gradcam,none,320,0.566,30,53,0.1912,0.2043,0.3793,0.219,0.0612,densenet121_full224
block3,layercam,aug,320,0.5472,29,53,0.2117,0.2465,0.3319,0.2105,0.0374,densenet121_full224
block3+4,hirescam,aug,320,0.5472,29,53,0.1972,0.226,0.3706,0.2774,0.0516,densenet121_full224
block3+4,hirescam,none,320,0.5472,29,53,0.1703,0.2197,0.3046,0.2772,0.0412,densenet121_full224
block3+4,layercam,both,224,0.5283,28,53,0.2391,0.2524,0.5104,0.2795,0.0837,densenet121_full224
block3+4,layercam,eigen,224,0.5283,28,53,0.239,0.2501,0.4901,0.2799,0.0774,densenet121_full224
block3+4,gradcam++,aug,224,0.5283,28,53,0.2327,0.2093,0.7172,0.1878,0.1867,densenet121_full224
