layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac
block4,gradcam,none,224,0.3584905660377358,19,53,0.22959900785139983,0.2043219539514444,0.6450570456929648,0.20069045305951716,0.171683077542287
block4,gradcam,none,320,0.37735849056603776,20,53,0.21423627932043127,0.2288991999483982,0.4488345583368702,0.2601391448361843,0.08734690468266325
block4,gradcam,aug,224,0.37735849056603776,20,53,0.23324796689427668,0.20498820657262612,0.6643891613540873,0.2011176772749487,0.17606800007370282
block4,gradcam,aug,320,0.41509433962264153,22,53,0.21820914314129505,0.23171979276807694,0.45375726553670204,0.25946052682270543,0.09032222459901054
block4,gradcam,eigen,224,0.39622641509433965,21,53,0.23884207713596833,0.22532529140681512,0.5964735305578434,0.25008574521735455,0.13991695979856095
block4,gradcam,eigen,320,0.41509433962264153,22,53,0.22529109594054766,0.23981925244444402,0.47338260793763537,0.3022808081905753,0.08550282244412404
block4,gradcam,both,224,0.41509433962264153,22,53,0.23909459691836263,0.22739343761495073,0.6014918446722661,0.2485315677775245,0.14078996766288326
block4,gradcam,both,320,0.41509433962264153,22,53,0.2231211439271617,0.23394369614645846,0.48882426295751447,0.29486191662658295,0.09793168193889114
block4,gradcam++,none,224,0.37735849056603776,20,53,0.24076567681324226,0.19888429283844278,0.780124048206106,0.18923652196617602,0.21441472251460236
block4,gradcam++,none,320,0.39622641509433965,21,53,0.23625445336333925,0.23734856291084247,0.5542339008840038,0.23123999132987116,0.12083546620494914
block4,gradcam++,aug,224,0.3584905660377358,19,53,0.24211341412403792,0.19914576701746564,0.7789926525986983,0.1889542743970632,0.21549429983462928
block4,gradcam++,aug,320,0.39622641509433965,21,53,0.24230334982071944,0.2312361511277099,0.5964182182355888,0.22822788402857708,0.12543854623470665
block4,gradcam++,eigen,224,0.37735849056603776,20,53,0.24206321250669885,0.22829772109651347,0.6186056762311767,0.2508844098814669,0.1391355406563237
block4,gradcam++,eigen,320,0.41509433962264153,22,53,0.23374948564815165,0.24490016903182718,0.48117986760076054,0.30926602034744616,0.08615675512349831
block4,gradcam++,both,224,0.41509433962264153,22,53,0.24022691806077104,0.23021697511747954,0.5994280644353502,0.2494505638089708,0.13930488082597842
block4,gradcam++,both,320,0.39622641509433965,21,53,0.2323407012807339,0.2351527776882587,0.4977951535608289,0.2924742664877619,0.09323969427144753
block4,hirescam,none,224,0.37735849056603776,20,53,0.2296004456660042,0.20785658847137192,0.6596245222480855,0.20724030273276997,0.18536724234527013
block4,hirescam,none,320,0.41509433962264153,22,53,0.2079468928989984,0.227511241416948,0.429109453604244,0.27708872451759203,0.08039290949983417
block4,hirescam,aug,224,0.3018867924528302,16,53,0.23236585148274663,0.2083764219978858,0.6531056596619801,0.20738850582776122,0.17032731254145783
block4,hirescam,aug,320,0.41509433962264153,22,53,0.2137695284474091,0.22796944061658606,0.4411022552174196,0.2764129200956685,0.08330325360568065
block4,hirescam,eigen,224,0.37735849056603776,20,53,0.23808364588425254,0.22576915924961022,0.60262345276046,0.25031846289861187,0.1400128850397074
block4,hirescam,eigen,320,0.4339622641509434,23,53,0.22336595783653945,0.24000502081517958,0.4681789099133567,0.303843590658106,0.08341431167890441
block4,hirescam,both,224,0.37735849056603776,20,53,0.23649519869605867,0.22610145172378943,0.6064670831036542,0.24796902546016406,0.14390065535059515
block4,hirescam,both,320,0.37735849056603776,20,53,0.22132580531227466,0.23243065292882137,0.492247321771457,0.28795097126516267,0.1175514077240566
block4,layercam,none,224,0.37735849056603776,20,53,0.2382070767047183,0.1973481255263518,0.7859695971985698,0.18414418214227332,0.22050517460085312
block4,layercam,none,320,0.4339622641509434,23,53,0.23735550805218095,0.22939808365655429,0.601630085927355,0.21033031588833107,0.13385625155466907
block4,layercam,aug,224,0.3584905660377358,19,53,0.24000018571440943,0.19641467412533345,0.7914546254741542,0.1840480851338614,0.22230999424772444
block4,layercam,aug,320,0.4339622641509434,23,53,0.23811356144571502,0.2247867399483974,0.6211106270944199,0.2077609512211159,0.13902181949255601
block4,layercam,eigen,224,0.39622641509433965,21,53,0.24028928511043868,0.22834899173260761,0.6261092363156152,0.25081496944214027,0.13886359952530772
block4,layercam,eigen,320,0.39622641509433965,21,53,0.23127410303150758,0.24288503037228668,0.4735850521771814,0.3103277537426304,0.08412352148092019
block4,layercam,both,224,0.37735849056603776,20,53,0.2388040207212549,0.23146187394556866,0.5949749349448892,0.25016527102371205,0.13832311810187572
block4,layercam,both,320,0.41509433962264153,22,53,0.22832908638536004,0.2366791205102667,0.4911113810111914,0.2924887743798914,0.10579724581736438
block4,xgradcam,none,224,0.3018867924528302,16,53,0.16790992729574003,0.1713382658946188,0.3987717767788492,0.16935905537612597,0.14149818780287257
block4,xgradcam,none,320,0.3018867924528302,16,53,0.1383808388227278,0.15584079463756698,0.2716055166370724,0.17052090636205375,0.09063857456423202
block4,xgradcam,aug,224,0.3584905660377358,19,53,0.21898952894410706,0.17866452317150183,0.6496657034161525,0.15715385973136184,0.21511524128464032
block4,xgradcam,aug,320,0.39622641509433965,21,53,0.19975840334655445,0.1835847259608548,0.4889454881701472,0.1643821851371385,0.11937575070363171
