layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac,model
block4,gradcam++,both,224,0.4151,22,53,0.2402,0.2302,0.5994,0.2495,0.1393,densenet121_full224
block4,gradcam,both,224,0.4151,22,53,0.2391,0.2274,0.6015,0.2485,0.1408,densenet121_full224
block4,layercam,eigen,224,0.3962,21,53,0.2403,0.2283,0.6261,0.2508,0.1389,densenet121_full224
block4,gradcam,eigen,224,0.3962,21,53,0.2388,0.2253,0.5965,0.2501,0.1399,densenet121_full224
block4,gradcam++,eigen,224,0.3774,20,53,0.2421,0.2283,0.6186,0.2509,0.1391,densenet121_full224
block4,gradcam++,none,224,0.3774,20,53,0.2408,0.1989,0.7801,0.1892,0.2144,densenet121_full224
block4,layercam,both,224,0.3774,20,53,0.2388,0.2315,0.595,0.2502,0.1383,densenet121_full224
block4,layercam,none,224,0.3774,20,53,0.2382,0.1973,0.786,0.1841,0.2205,densenet121_full224
block4,hirescam,eigen,224,0.3774,20,53,0.2381,0.2258,0.6026,0.2503,0.14,densenet121_full224
block4,hirescam,both,224,0.3774,20,53,0.2365,0.2261,0.6065,0.248,0.1439,densenet121_full224
block4,gradcam,aug,224,0.3774,20,53,0.2332,0.205,0.6644,0.2011,0.1761,densenet121_full224
block4,hirescam,none,224,0.3774,20,53,0.2296,0.2079,0.6596,0.2072,0.1854,densenet121_full224
block4,gradcam++,aug,224,0.3585,19,53,0.2421,0.1991,0.779,0.189,0.2155,densenet121_full224
block4,layercam,aug,224,0.3585,19,53,0.24,0.1964,0.7915,0.184,0.2223,densenet121_full224
block4,gradcam,none,224,0.3585,19,53,0.2296,0.2043,0.6451,0.2007,0.1717,densenet121_full224
block4,xgradcam,aug,224,0.3585,19,53,0.219,0.1787,0.6497,0.1572,0.2151,densenet121_full224
block4,hirescam,aug,224,0.3019,16,53,0.2324,0.2084,0.6531,0.2074,0.1703,densenet121_full224
block4,xgradcam,none,224,0.3019,16,53,0.1679,0.1713,0.3988,0.1694,0.1415,densenet121_full224
block4,xgradcam,both,224,0.283,15,53,0.1928,0.1518,0.5835,0.1427,0.2251,densenet121_full224
block4,xgradcam,eigen,224,0.2075,11,53,0.1165,0.1221,0.3007,0.1457,0.1204,densenet121_full224
