model,class,mean,std,n_pos_total,underpowered
densenet121_imagenet,Atelectasis,0.7698,0.0187,508,False
densenet121_imagenet,Cardiomegaly,0.7771,0.028,141,True
densenet121_imagenet,Consolidation,0.768,0.0432,226,False
densenet121_imagenet,Edema,0.8349,0.0487,118,True
densenet121_imagenet,Effusion,0.8189,0.0201,644,False
densenet121_imagenet,Emphysema,0.838,0.0348,127,True
densenet121_imagenet,Fibrosis,0.6791,0.0669,84,True
densenet121_imagenet,Hernia,0.8697,0.1162,13,True
densenet121_imagenet,Infiltration,0.682,0.0139,967,False
densenet121_imagenet,Mass,0.7176,0.0292,284,False
densenet121_imagenet,Nodule,0.6477,0.0211,313,False
densenet121_imagenet,Pleural_Thickening,0.7381,0.0557,176,False
densenet121_imagenet,Pneumonia,0.6237,0.0806,62,True
densenet121_imagenet,Pneumothorax,0.8351,0.0278,271,False
ensemble_cnn_raddino,Atelectasis,0.7943,0.0245,508,False
ensemble_cnn_raddino,Cardiomegaly,0.8468,0.0382,141,True
ensemble_cnn_raddino,Consolidation,0.7651,0.045,226,False
ensemble_cnn_raddino,Edema,0.8594,0.0417,118,True
ensemble_cnn_raddino,Effusion,0.8349,0.0132,644,False
ensemble_cnn_raddino,Emphysema,0.867,0.0431,127,True
ensemble_cnn_raddino,Fibrosis,0.711,0.0847,84,True
ensemble_cnn_raddino,Hernia,0.9077,0.1198,13,True
ensemble_cnn_raddino,Infiltration,0.6813,0.018,967,False
ensemble_cnn_raddino,Mass,0.8243,0.0293,284,False
ensemble_cnn_raddino,Nodule,0.7127,0.0075,313,False
ensemble_cnn_raddino,Pleural_Thickening,0.7551,0.0512,176,False
ensemble_cnn_raddino,Pneumonia,0.5715,0.0654,62,True
ensemble_cnn_raddino,Pneumothorax,0.8669,0.0284,271,False
raddino_linear,Atelectasis,0.7596,0.0249,508,False
raddino_linear,Cardiomegaly,0.8269,0.0517,141,True
raddino_linear,Consolidation,0.7089,0.0517,226,False
raddino_linear,Edema,0.8212,0.0423,118,True
raddino_linear,Effusion,0.801,0.02,644,False
raddino_linear,Emphysema,0.8349,0.0482,127,True
raddino_linear,Fibrosis,0.6827,0.0771,84,True
raddino_linear,Hernia,0.8797,0.1035,13,True
raddino_linear,Infiltration,0.6538,0.0203,967,False
raddino_linear,Mass,0.8293,0.0295,284,False
raddino_linear,Nodule,0.7048,0.0078,313,False
raddino_linear,Pleural_Thickening,0.717,0.0402,176,False
raddino_linear,Pneumonia,0.5078,0.0855,62,True
raddino_linear,Pneumothorax,0.8464,0.0307,271,False
