image,condition,parse_ok,error,seconds,n_present,n_flagged,n_truth,n_unsupported_vs_clf,n_omit_vs_clf,n_unsupported_but_true,n_unsupported_and_false,unsupported_rate_vs_clf,omit_rate_vs_clf,n_false_vs_truth,precision_vs_truth,recall_vs_truth,normal_film_kept_clean,loc_agree,n_loc_checked
00015386_000.png,A,True,False,29.1,3,3,2,2,2,0,2,0.6667,0.6667,2,0.3333,0.5,,,0
00015386_000.png,B,True,False,9.5,6,3,2,3,0,0,3,0.5,0.0,4,0.3333,1.0,,,0
00015386_000.png,C,True,False,10.4,5,3,2,2,0,0,2,0.4,0.0,3,0.4,1.0,,1.0,3
00007034_021.png,A,True,False,27.7,3,2,0,2,1,0,2,0.6667,0.5,3,0.0,,False,,0
00007034_021.png,B,True,False,9.4,4,2,0,2,0,0,2,0.5,0.0,4,0.0,,False,,0
00007034_021.png,C,True,False,9.7,4,2,0,2,0,0,2,0.5,0.0,4,0.0,,False,1.0,1
00021670_020.png,A,True,False,29.2,2,0,0,2,0,0,2,1.0,,2,0.0,,False,,0
00021670_020.png,B,True,False,13.1,6,0,0,6,0,0,6,1.0,,6,0.0,,False,,0
00021670_020.png,C,True,False,14.2,5,0,0,5,0,0,5,1.0,,5,0.0,,False,,0
00016094_020.png,A,True,False,28.9,0,3,1,0,3,0,0,0.0,1.0,0,,0.0,,,0
00016094_020.png,B,True,False,8.7,3,3,1,0,0,0,0,0.0,0.0,2,0.3333,1.0,,,0
00016094_020.png,C,True,False,9.6,3,3,1,0,0,0,0,0.0,0.0,2,0.3333,1.0,,1.0,3
00014125_034.png,A,True,False,30.1,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00014125_034.png,B,True,False,8.1,2,0,0,2,0,0,2,1.0,,2,0.0,,False,,0
00014125_034.png,C,True,False,8.0,2,0,0,2,0,0,2,1.0,,2,0.0,,False,,0
00028682_004.png,A,True,False,27.7,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00028682_004.png,B,True,False,13.4,5,0,0,5,0,0,5,1.0,,5,0.0,,False,,0
00028682_004.png,C,True,False,12.9,5,0,0,5,0,0,5,1.0,,5,0.0,,False,,0
00000468_005.png,A,True,False,30.1,4,2,2,3,1,0,3,0.75,0.5,4,0.0,0.0,,,0
