model,split,threshold_strategy,class,precision,recall,f1,support
densenet121_imagenet,train  ,youden            ,Atelectasis       ,0.1875,0.7682,0.3015,2032
densenet121_imagenet,train  ,youden            ,Cardiomegaly      ,0.0545,0.8706,0.1026,564
densenet121_imagenet,train  ,youden            ,Consolidation     ,0.09,0.865,0.163,904
densenet121_imagenet,train  ,youden            ,Edema             ,0.0639,0.9004,0.1192,472
densenet121_imagenet,train  ,youden            ,Effusion          ,0.2612,0.8509,0.3997,2576
densenet121_imagenet,train  ,youden            ,Emphysema         ,0.0619,0.878,0.1156,508
densenet121_imagenet,train  ,youden            ,Fibrosis          ,0.0424,0.7708,0.0803,336
densenet121_imagenet,train  ,youden            ,Hernia            ,0.0086,1.0,0.017,52
densenet121_imagenet,train  ,youden            ,Infiltration      ,0.3122,0.5253,0.3916,3868
densenet121_imagenet,train  ,youden            ,Mass              ,0.1069,0.7491,0.1872,1136
densenet121_imagenet,train  ,youden            ,Nodule            ,0.0928,0.7947,0.1662,1252
densenet121_imagenet,train  ,youden            ,Pleural_Thickening,0.0678,0.8565,0.1256,704
densenet121_imagenet,train  ,youden            ,Pneumonia         ,0.02,0.9315,0.0392,248
densenet121_imagenet,train  ,youden            ,Pneumothorax      ,0.1274,0.8635,0.2221,1084
densenet121_imagenet,train  ,youden            ,<micro avg>       ,0.1045,0.7534,0.1836,15736
densenet121_imagenet,train  ,youden            ,<macro avg>       ,0.1069,0.8303,0.1736,15736
densenet121_imagenet,train  ,youden            ,<weighted avg>    ,0.1829,0.7534,0.271,15736
densenet121_imagenet,heldout,youden            ,Atelectasis       ,0.1702,0.7087,0.2745,508
densenet121_imagenet,heldout,youden            ,Cardiomegaly      ,0.0455,0.7589,0.0859,141
densenet121_imagenet,heldout,youden            ,Consolidation     ,0.0832,0.7876,0.1505,226
densenet121_imagenet,heldout,youden            ,Edema             ,0.061,0.8559,0.1138,118
densenet121_imagenet,heldout,youden            ,Effusion          ,0.246,0.8075,0.3771,644
densenet121_imagenet,heldout,youden            ,Emphysema         ,0.0535,0.7559,0.0998,127
densenet121_imagenet,heldout,youden            ,Fibrosis          ,0.0293,0.5357,0.0555,84
densenet121_imagenet,heldout,youden            ,Hernia            ,0.0064,0.7692,0.0127,13
densenet121_imagenet,heldout,youden            ,Infiltration      ,0.2957,0.4922,0.3694,967
densenet121_imagenet,heldout,youden            ,Mass              ,0.0923,0.6408,0.1613,284
densenet121_imagenet,heldout,youden            ,Nodule            ,0.0803,0.6869,0.1437,313
densenet121_imagenet,heldout,youden            ,Pleural_Thickening,0.058,0.7443,0.1076,176
densenet121_imagenet,heldout,youden            ,Pneumonia         ,0.0163,0.7581,0.032,62
densenet121_imagenet,heldout,youden            ,Pneumothorax      ,0.111,0.7565,0.1936,271
densenet121_imagenet,heldout,youden            ,<micro avg>       ,0.0937,0.6795,0.1647,3934
densenet121_imagenet,heldout,youden            ,<macro avg>       ,0.0963,0.7184,0.1555,3934
densenet121_imagenet,heldout,youden            ,<weighted avg>    ,0.1691,0.6795,0.2493,3934
densenet121_imagenet,train  ,f1opt             ,Atelectasis       ,0.2734,0.5108,0.3562,2032
densenet121_imagenet,train  ,f1opt             ,Cardiomegaly      ,0.2457,0.2784,0.261,564
densenet121_imagenet,train  ,f1opt             ,Consolidation     ,0.1468,0.4369,0.2197,904
densenet121_imagenet,train  ,f1opt             ,Edema             ,0.2129,0.3369,0.2609,472
densenet121_imagenet,train  ,f1opt             ,Effusion          ,0.3495,0.6285,0.4492,2576
densenet121_imagenet,train  ,f1opt             ,Emphysema         ,0.2274,0.372,0.2823,508
densenet121_imagenet,train  ,f1opt             ,Fibrosis          ,0.1489,0.3333,0.2059,336
densenet121_imagenet,train  ,f1opt             ,Hernia            ,0.359,0.2692,0.3077,52
densenet121_imagenet,train  ,f1opt             ,Infiltration      ,0.3004,0.5726,0.3941,3868
densenet121_imagenet,train  ,f1opt             ,Mass              ,0.2233,0.3169,0.262,1136
densenet121_imagenet,train  ,f1opt             ,Nodule            ,0.1944,0.3307,0.2448,1252
densenet121_imagenet,train  ,f1opt             ,Pleural_Thickening,0.1686,0.3097,0.2183,704
densenet121_imagenet,train  ,f1opt             ,Pneumonia         ,0.1209,0.2056,0.1522,248
densenet121_imagenet,train  ,f1opt             ,Pneumothorax      ,0.2543,0.4649,0.3288,1084
densenet121_imagenet,train  ,f1opt             ,<micro avg>       ,0.2573,0.4731,0.3333,15736
densenet121_imagenet,train  ,f1opt             ,<macro avg>       ,0.2304,0.3833,0.2817,15736
densenet121_imagenet,train  ,f1opt             ,<weighted avg>    ,0.2602,0.4731,0.3339,15736
densenet121_imagenet,heldout,f1opt             ,Atelectasis       ,0.2207,0.4114,0.2873,508
densenet121_imagenet,heldout,f1opt             ,Cardiomegaly      ,0.0974,0.1064,0.1017,141
densenet121_imagenet,heldout,f1opt             ,Consolidation     ,0.106,0.3142,0.1585,226
densenet121_imagenet,heldout,f1opt             ,Edema             ,0.0909,0.1356,0.1088,118
densenet121_imagenet,heldout,f1opt             ,Effusion          ,0.304,0.5419,0.3895,644
densenet121_imagenet,heldout,f1opt             ,Emphysema         ,0.1105,0.1575,0.1299,127
densenet121_imagenet,heldout,f1opt             ,Fibrosis          ,0.0632,0.1429,0.0876,84
densenet121_imagenet,heldout,f1opt             ,Hernia            ,0.0,0.0,0.0,13
densenet121_imagenet,heldout,f1opt             ,Infiltration      ,0.2746,0.5191,0.3592,967
densenet121_imagenet,heldout,f1opt             ,Mass              ,0.1477,0.2007,0.1701,284
densenet121_imagenet,heldout,f1opt             ,Nodule            ,0.1417,0.23,0.1754,313
densenet121_imagenet,heldout,f1opt             ,Pleural_Thickening,0.0977,0.1705,0.1242,176
densenet121_imagenet,heldout,f1opt             ,Pneumonia         ,0.036,0.0645,0.0462,62
densenet121_imagenet,heldout,f1opt             ,Pneumothorax      ,0.1835,0.2952,0.2263,271
densenet121_imagenet,heldout,f1opt             ,<micro avg>       ,0.2039,0.3653,0.2617,3934
densenet121_imagenet,heldout,f1opt             ,<macro avg>       ,0.1339,0.235,0.1689,3934
