model,class,mean,std,n_pos_total,underpowered
densenet121_chexpert,Atelectasis,0.7189,0.021,508,False
densenet121_chexpert,Cardiomegaly,0.7639,0.0391,141,True
densenet121_chexpert,Consolidation,0.763,0.0421,226,False
densenet121_chexpert,Edema,0.82,0.0489,118,True
densenet121_chexpert,Effusion,0.7907,0.0192,644,False
densenet121_chexpert,Emphysema,0.739,0.0272,127,True
densenet121_chexpert,Fibrosis,0.6781,0.0403,84,True
densenet121_chexpert,Hernia,0.8251,0.128,13,True
densenet121_chexpert,Infiltration,0.6588,0.0156,967,False
densenet121_chexpert,Mass,0.6943,0.0325,284,False
densenet121_chexpert,Nodule,0.6246,0.0338,313,False
densenet121_chexpert,Pleural_Thickening,0.6582,0.045,176,False
densenet121_chexpert,Pneumonia,0.6426,0.0467,62,True
densenet121_chexpert,Pneumothorax,0.7416,0.0473,271,False
densenet121_imagenet,Atelectasis,0.738,0.0265,508,False
densenet121_imagenet,Cardiomegaly,0.7424,0.0312,141,True
densenet121_imagenet,Consolidation,0.7534,0.0339,226,False
densenet121_imagenet,Edema,0.829,0.0355,118,True
densenet121_imagenet,Effusion,0.7992,0.0205,644,False
densenet121_imagenet,Emphysema,0.7638,0.065,127,True
densenet121_imagenet,Fibrosis,0.6561,0.0803,84,True
densenet121_imagenet,Hernia,0.7533,0.1153,13,True
densenet121_imagenet,Infiltration,0.6657,0.0185,967,False
densenet121_imagenet,Mass,0.6823,0.0355,284,False
densenet121_imagenet,Nodule,0.653,0.0286,313,False
densenet121_imagenet,Pleural_Thickening,0.724,0.044,176,False
densenet121_imagenet,Pneumonia,0.646,0.0806,62,True
densenet121_imagenet,Pneumothorax,0.7864,0.0283,271,False
efficientnet_b0,Atelectasis,0.7358,0.022,508,False
efficientnet_b0,Cardiomegaly,0.723,0.04,141,True
efficientnet_b0,Consolidation,0.7456,0.0453,226,False
efficientnet_b0,Edema,0.8107,0.0455,118,True
efficientnet_b0,Effusion,0.7817,0.013,644,False
efficientnet_b0,Emphysema,0.7614,0.0446,127,True
efficientnet_b0,Fibrosis,0.6282,0.0431,84,True
efficientnet_b0,Hernia,0.7758,0.0834,13,True
efficientnet_b0,Infiltration,0.6665,0.0247,967,False
efficientnet_b0,Mass,0.6803,0.0298,284,False
efficientnet_b0,Nodule,0.6327,0.0207,313,False
efficientnet_b0,Pleural_Thickening,0.687,0.0365,176,False
efficientnet_b0,Pneumonia,0.6875,0.0712,62,True
efficientnet_b0,Pneumothorax,0.7674,0.0199,271,False
