class,threshold,tpr,fpr
Atelectasis,0.5706184506416321,0.7204724409448819,0.38191447626520203
Cardiomegaly,0.456306129693985,0.851063829787234,0.44995425434583713
Consolidation,0.5917342901229858,0.7654867256637168,0.33568773234200744
Edema,0.48000842332839966,0.8135593220338984,0.32252186588921283
Effusion,0.5942187905311584,0.7251552795031055,0.2634018540910923
Emphysema,0.49359142780303955,0.7559055118110236,0.35243657601752143
Fibrosis,0.4622563123703003,0.5833333333333334,0.2883013400941688
Hernia,0.3586661219596863,0.8461538461538461,0.32701591274807795
Infiltration,0.5339747071266174,0.5501551189245087,0.3065315800819142
Mass,0.5734825730323792,0.676056338028169,0.37298008267568583
Nodule,0.6003913879394531,0.5303514376996805,0.3175892688456452
Pleural_Thickening,0.5411785244941711,0.5965909090909091,0.3289134438305709
Pneumonia,0.4230886697769165,0.6290322580645161,0.38924963924963923
Pneumothorax,0.583455502986908,0.7121771217712177,0.3467666354264292
