class,threshold,tpr,fpr
Atelectasis,0.5348712801933289,0.7086614173228346,0.34425264809729306
Cardiomegaly,0.5082166194915771,0.7588652482269503,0.41061299176578225
Consolidation,0.5754170417785645,0.7876106194690266,0.36449814126394053
Edema,0.544489324092865,0.8559322033898306,0.28352769679300294
Effusion,0.5250591039657593,0.8074534161490683,0.3212414349052801
Emphysema,0.4370831251144409,0.7559055118110236,0.3102755977368133
Fibrosis,0.4663185477256775,0.5357142857142857,0.2703730532415791
Hernia,0.3690415322780609,0.7692307692307693,0.27856248882531737
Infiltration,0.5889202952384949,0.4922440537745605,0.2444492347488683
Mass,0.5395529866218567,0.6408450704225352,0.33633972190905675
Nodule,0.5513077974319458,0.6869009584664537,0.46552049877196294
Pleural_Thickening,0.4913936257362366,0.7443181818181818,0.3920810313075506
Pneumonia,0.4250723719596863,0.7580645161290323,0.5102813852813853
Pneumothorax,0.5648261904716492,0.7564575645756457,0.3077788191190253
