class,threshold,tpr,fpr
Atelectasis,0.5687819123268127,0.6968503937007874,0.3318948607296979
Cardiomegaly,0.516913115978241,0.6950354609929078,0.3231473010064044
Consolidation,0.5139402747154236,0.8539823008849557,0.4485130111524164
Edema,0.49787285923957825,0.847457627118644,0.31723760932944606
Effusion,0.46318164467811584,0.8633540372670807,0.4216041918581217
Emphysema,0.49818289279937744,0.6929133858267716,0.2536959299142179
Fibrosis,0.41457849740982056,0.75,0.5228178196305686
Hernia,0.3875320255756378,0.6923076923076923,0.226890756302521
Infiltration,0.5467714071273804,0.5056876938986556,0.2696701875404182
Mass,0.547650933265686,0.6338028169014085,0.36170612551672304
Nodule,0.6025658845901489,0.49201277955271566,0.27772529756281883
Pleural_Thickening,0.4609238803386688,0.8238636363636364,0.5412523020257827
Pneumonia,0.4462263882160187,0.7258064516129032,0.3661616161616162
Pneumothorax,0.5998232364654541,0.7084870848708487,0.28209934395501407
