class,threshold,tpr,fpr
Atelectasis,0.5253000259399414,0.718503937007874,0.31267163593566105
Cardiomegaly,0.4855659604072571,0.75177304964539,0.29954254345837145
Consolidation,0.5331354141235352,0.8141592920353983,0.37230483271375464
Edema,0.479389488697052,0.9152542372881356,0.3387390670553936
Effusion,0.5119550824165344,0.7934782608695652,0.2783151954856913
Emphysema,0.39379727840423584,0.8661417322834646,0.34312830808541706
Fibrosis,0.4406748414039612,0.5595238095238095,0.2625860195581311
Hernia,0.36802536249160767,0.9230769230769231,0.2908993384587878
Infiltration,0.5314996838569641,0.5760082730093071,0.30243586979952575
Mass,0.5161546468734741,0.6584507042253521,0.3130402104472003
Nodule,0.5229564905166626,0.6613418530351438,0.44190440204043074
Pleural_Thickening,0.515141487121582,0.6931818181818182,0.2720073664825046
Pneumonia,0.4630497097969055,0.5,0.2694805194805195
Pneumothorax,0.5480116605758667,0.8118081180811808,0.2554826616682287
