class,threshold,tpr,fpr
Atelectasis,0.5371770858764648,0.7755905511811023,0.32326402510788543
Cardiomegaly,0.5347319841384888,0.7943262411347518,0.23110704483074107
Consolidation,0.5408778786659241,0.8008849557522124,0.3587360594795539
Edema,0.5229934453964233,0.8728813559322034,0.27077259475218657
Effusion,0.5192947387695312,0.8229813664596274,0.29645304312777104
Emphysema,0.529543399810791,0.7480314960629921,0.15240007300602298
Fibrosis,0.4863412082195282,0.6190476190476191,0.2868525896414343
Hernia,0.46017006039619446,0.9230769230769231,0.14696942606829966
Infiltration,0.5119532346725464,0.655635987590486,0.3869368398361716
Mass,0.5457621812820435,0.7852112676056338,0.28447951897782786
Nodule,0.5606681108474731,0.6325878594249201,0.30606461364065746
Pleural_Thickening,0.579671323299408,0.6136363636363636,0.17679558011049723
Pneumonia,0.5027128458023071,0.4032258064516129,0.26172438672438675
Pneumothorax,0.6030749082565308,0.7933579335793358,0.1765698219306467
