class,threshold,tpr,fpr
Atelectasis,0.6097650527954102,0.65748031496063,0.26186739897999217
Cardiomegaly,0.6020649671554565,0.7304964539007093,0.21482159194876488
Consolidation,0.5724761486053467,0.672566371681416,0.32806691449814124
Edema,0.6028642654418945,0.7033898305084746,0.19861516034985421
Effusion,0.5696531534194946,0.7562111801242236,0.2857718661829907
Emphysema,0.5945131778717041,0.7401574803149606,0.20295674393137433
Fibrosis,0.5366096496582031,0.6547619047619048,0.34715682723650854
Hernia,0.5296154022216797,0.9230769230769231,0.2538887895583765
Infiltration,0.6382083892822266,0.42088934850051707,0.2028454408277646
Mass,0.6354861855506897,0.7359154929577465,0.2179631717399474
Nodule,0.6139373779296875,0.5654952076677316,0.25618741734366146
Pleural_Thickening,0.5794652700424194,0.6363636363636364,0.2867403314917127
Pneumonia,0.44631528854370117,0.7580645161290323,0.6343795093795094
Pneumothorax,0.6399679780006409,0.7564575645756457,0.18556701030927836
